((1334759341199667200, 'alpercakar', 'gkantar'), 0.8131441659244178)
((1332661769811107800, 'sananbabayev', 'eagaev'), 0.4483465027802166)
((1332639120716226600, 'sananbabayev', 'onatt'), 0.5974528087332271)
((1325382555638485000, 'sananbabayev', 'fethidenker'), 0.34990079698691867)
((1336632936955711500, 'sananbabayev', 'colakulas'), 0.8133028832429346)
((1334855073172779000, 'sananbabayev', 'orkhan'), 0.5587490814076916)
((1333904961831391200, 'sananbabayev', 'colakulas'), 0.8754192620987062)
((1334925435768025000, 'sananbabayev', 'eagaev'), 0.1131621187800963)
((1325880838848983000, 'sananbabayev', 'zubeyir'), 0.7304747320061256)
((1330463535063847000, 'sananbabayev', 'tolgaaydin'), 0.37039947609692203)
((1331948318709125000, 'sananbabayev', 'colakulas'), 0.3508841330748842)
((1324611458907443200, 'sananbabayev', 'rebahozkoc'), 0.4174488158342654)
((1327632760933060600, 'sananbabayev', 'orkhan'), 0.4631578947368421)
((1331232351385387000, 'sananbabayev', 'ramonberke'), 0.43084253447564946)
((1328678020110979000, 'sananbabayev', 'oteryaki'), 0.6773874930551269)
((1331850171811065900, 'sananbabayev', 'omersurhay'), 0.6257894516709189)
((1326482302176690200, 'sananbabayev', 'omersurhay'), 0.78760490639122)
((1329314715105976300, 'sananbabayev', 'eagaev'), 0.46762841836198743)
((1326871113608073200, 'sananbabayev', 'tolgaaydin'), 0.5250096811669033)
((1331927481260060700, 'sananbabayev', 'tolgaaydin'), 0.21174568965517238)
((1332657994882924500, 'sananbabayev', 'burakbatman'), 0.24077108097744615)
((1324482877581631500, 'sananbabayev', 'tahabayindir'), 0.44228202065622146)
((1329862075640815600, 'sananbabayev', 'zubeyir'), 0.6773305362527862)
((1325407713988386800, 'sananbabayev', 'onatt'), 0.32973821207064036)
((1331122794244026400, 'sananbabayev', 'oteryaki'), 0.3474075975359343)
((1335662794348220400, 'sananbabayev', 'alperenyildiz'), 0.5535229384021725)
((1334508941242495000, 'sananbabayev', 'alperenyildiz'), 0.7979789846612182)
((1326560316029800400, 'sananbabayev', 'zubeyir'), 0.7088462936990286)
((1331968454530777000, 'sananbabayev', 'caltinuzengi'), 0.311406578026592)
((1334461126390780000, 'sananbabayev', 'umutonder'), 0.27673046481508123)
((1333498533370945500, 'omersurhay', 'tahabayindir'), 0.6111111111111112)
((1334215759589937200, 'omersurhay', 'mehmetcandar'), 0.8408526956914053)
((1336435385069531100, 'omersurhay', 'burakbatman'), 0.9090485074626866)
((1327370262245990400, 'omersurhay', 'rebahozkoc'), 0.8296509058771542)
((1332675611106680800, 'omersurhay', 'goktugmandaci'), 0.8780531609195402)
((1328645745369620500, 'omersurhay', 'tahabayindir'), 0.8629499913877247)
((1330081016631812000, 'omersurhay', 'dogru'), 0.9389563016452022)
((1330268192493670400, 'omersurhay', 'mustafacem'), 0.6386075326974137)
((1334418344552910800, 'omersurhay', 'onatt'), 0.7657477159801249)
((1336699774024683500, 'omersurhay', 'umutonder'), 0.7965182003165273)
((1330844797754511400, 'omersurhay', 'gkantar'), 0.8765027894916053)
((1333742158784950300, 'omersurhay', 'onatt'), 0.7347000301477238)
