(('1329679619558158336_1758', 'omersurhay', 'onatt'), 1.0)
(('1329310007687581702_1770', 'omersurhay', 'fethidenker'), 0.5714285714285714)
(('1327503782620635136_1790', 'omersurhay', 'goktugmandaci'), 1.0)
(('1326828332109996048_1818', 'omersurhay', 'dogru'), 1.0)
(('1323608364887154694_1875', 'omersurhay', 'tahabayindir'), 0.0)
(('1323344123391176704_1894', 'omersurhay', 'caltinuzengi'), 1.0)
(('1322800086536097794_1935', 'omersurhay', 'colakulas'), 0.5714285714285714)
(('1322488485505236992_1963', 'omersurhay', 'msamil'), 0.5714285714285714)
(('1322425573340336130_1983', 'omersurhay', 'rebahozkoc'), nan)
(('1322318137300234240_1993', 'omersurhay', 'tahabayindir'), 0.0)
(('1322196948036784129_2016', 'omersurhay', 'dogru'), 1.0)
(('1322170772190887938_2042', 'omersurhay', 'rebahozkoc'), 1.0)
(('1318309560185245697_2073', 'omersurhay', 'caltinuzengi'), 0.5714285714285714)
(('1332592563598057472_2136', 'omersurhay', 'oteryaki'), 0.0)
(('1310208046988177409_2104', 'omersurhay', 'umutonder'), 1.0)
(('1323559604656181252_2182', 'omersurhay', 'alpercakar'), nan)
(('1311013665894793217_2255', 'omersurhay', 'kkaan'), 1.0)
(('1317751174427299840_2245', 'omersurhay', 'ozgurbeker'), 1.0)
(('1329699651856044032_2147', 'omersurhay', 'omerkuyucu'), 0.0)
(('1324655263295565824_2171', 'omersurhay', 'burakbatman'), nan)
(('1322179882017837056_2229', 'omersurhay', 'orkhan'), 0.5714285714285714)
(('1332583755727446016_971', 'onatt', 'gkantar'), 0.6666666666666667)
(('1326843431822323712_995', 'onatt', 'omerkuyucu'), 0.25)
(('1325407713988386817_1011', 'onatt', 'burakbatman'), 0.0)
(('1323567798455586817_1049', 'onatt', 'colakulas'), 0.6666666666666667)
(('1322920415694626816_1085', 'onatt', 'msamil'), 0.25)
(('1322837032037765122_1096', 'onatt', 'rebahozkoc'), 0.6666666666666667)
(('1322789979404324865_1108', 'onatt', 'zubeyir'), 0.6666666666666667)
(('1322437189284880385_1123', 'onatt', 'orkhan'), 0.6666666666666667)
(('1323878981670752256_1171', 'onatt', 'omerkuyucu'), 0.5714285714285714)
(('1323747668150177796_1174', 'onatt', 'alpercakar'), 0.0)
(('1323181115721613312_1204', 'onatt', 'suedaseker'), 0.6666666666666667)
(('1323156942680920064_1209', 'onatt', 'tahabayindir'), 0.33333333333333337)
(('1322425573340336130_1231', 'onatt', 'emirasal'), 0.5714285714285714)
(('1329336106039595008_1254', 'onatt', 'kkaan'), 0.5714285714285714)
(('1326871113608073216_1264', 'onatt', 'burakbatman'), 1.0)
(('1323273659063001089_1289', 'onatt', 'alpercakar'), 1.0)
(('1322610475910209536_1308', 'onatt', 'caltinuzengi'), 0.5714285714285714)
(('1322531961492090880_1313', 'onatt', 'mustafacem'), 0.25)
(('1320266343015436291_1333', 'onatt', 'zubeyir'), 0.6666666666666667)
