(('cnnturk433', 'onatt', 'burakbatman'), 0.8534860222297069)
(('Hurriyet2578', 'fethidenker', 'alperenyildiz'), 0.854251012145749)
(('cnnturk588', 'fethidenker', 'alpercakar'), 0.806325216904562)
(('Hurriyet3846', 'fethidenker', 'umutonder'), 0.7264141852173075)
(('cnnturk255', 'fethidenker', 'omerkuyucu'), 0.7816653105505831)
(('cnnturk283', 'fethidenker', 'caltinuzengi'), 0.7894316252122665)
(('Hurriyet1854', 'fethidenker', 'omersurhay'), 0.9465488215488216)
(('Hurriyet3102', 'fethidenker', 'alperenyildiz'), 0.6925441967717141)
(('Hurriyet4470', 'fethidenker', 'goktugmandaci'), 0.7051169161530183)
(('cnnturk24', 'fethidenker', 'mehmetcandar'), 0.5743142674888368)
(('Hurriyet3900', 'fethidenker', 'caltinuzengi'), 0.7301451750640477)
(('Hurriyet372', 'fethidenker', 'colakulas'), 0.7769752997255525)
(('Hurriyet3015', 'fethidenker', 'eagaev'), 0.43043436571099825)
(('Hurriyet2557', 'fethidenker', 'tolgaaydin'), 0.8830111902339777)
(('Hurriyet1290', 'fethidenker', 'caltinuzengi'), 1.0)
(('Hurriyet2809', 'fethidenker', 'kkaan'), 0.8006959822840873)
(('cnnturk681', 'fethidenker', 'idilkale'), 0.9112697603263641)
(('Hurriyet353', 'fethidenker', 'mehmetcandar'), 0.8518518518518519)
(('Hurriyet1035', 'fethidenker', 'omerkuyucu'), 0.6386548242617476)
(('Hurriyet2726', 'fethidenker', 'caltinuzengi'), 0.7902852737085582)
(('Hurriyet3453', 'fethidenker', 'zubeyir'), 0.6637574644005513)
(('cnnturk1203', 'fethidenker', 'umutonder'), 0.7058823529411764)
(('Hurriyet4748', 'fethidenker', 'colakulas'), 0.7867203219315896)
(('Hurriyet4118', 'fethidenker', 'mehmetcandar'), 0.8222709818979703)
(('Hurriyet4728', 'fethidenker', 'goktugmandaci'), 0.9396162528216704)
(('Hurriyet1659', 'fethidenker', 'omerkuyucu'), 0.8446702613023642)
(('cnnturk776', 'fethidenker', 'tolgaaydin'), 0.862986298629863)
(('Hurriyet255', 'fethidenker', 'burakbatman'), 0.976984499765148)
