(('Hurriyet3639', 'umutonder', 'alperenyildiz'), 0.8933236574746009)
(('Hurriyet339', 'umutonder', 'idilkale'), 0.8287778446718843)
(('Hurriyet2660', 'umutonder', 'omerkuyucu'), 0.6366100281455227)
(('Hurriyet4270', 'umutonder', 'alpercakar'), 0.5948564382596442)
(('Hurriyet2521', 'umutonder', 'fethidenker'), 0.6932122655552247)
(('Hurriyet4495', 'umutonder', 'orkhan'), 0.7546638507567758)
(('cnnturk329', 'colakulas', 'alpercakar'), 0.9803439803439803)
(('Hurriyet1430', 'colakulas', 'alperenyildiz'), 0.9229738780977896)
(('Hurriyet685', 'colakulas', 'alpercakar'), 0.6817904993909866)
(('Hurriyet4788', 'colakulas', 'sananbabayev'), 0.6843970528802811)
(('Hurriyet1118', 'msamil', 'raulaliyev'), 0.901067205076435)
(('Hurriyet650', 'msamil', 'sananbabayev'), 0.5283011304417542)
(('Hurriyet582', 'msamil', 'raulaliyev'), 0.8438858438858439)
(('Hurriyet1255', 'msamil', 'burakbatman'), 0.8613940803721826)
(('Hurriyet2415', 'msamil', 'fethidenker'), 0.7128356674804059)
(('cnnturk1103', 'msamil', 'kkaan'), 0.8347571942446044)
(('Hurriyet3225', 'msamil', 'caltinuzengi'), 0.7569218241042346)
(('Hurriyet2023', 'msamil', 'raulaliyev'), 0.6069300828596864)
(('cnnturk872', 'msamil', 'alperenyildiz'), 0.8393813206424747)
(('Hurriyet3970', 'msamil', 'raulaliyev'), 0.46266899053181954)
(('Hurriyet713', 'alperenyildiz', 'mustafacem'), 0.7815016103059582)
(('Hurriyet2844', 'alperenyildiz', 'tolgaaydin'), 0.7145236112763174)
(('cnnturk426', 'alperenyildiz', 'kkaan'), 0.7395833333333334)
(('Hurriyet4600', 'alperenyildiz', 'orkhan'), 0.9523643949930459)
(('cnnturk927', 'alperenyildiz', 'idilkale'), 0.7345679012345678)
(('Hurriyet2741', 'alperenyildiz', 'tolgaaydin'), 0.6125390585626449)
(('Hurriyet2408', 'idilkale', 'fethidenker'), 0.5538160469667319)
(('Hurriyet4717', 'idilkale', 'burakbatman'), 0.8559138055801239)
(('Hurriyet2791', 'idilkale', 'orkhan'), 1.0)
(('Hurriyet3528', 'tolgaaydin', 'omerkuyucu'), 0.7029520295202952)
(('Hurriyet2928', 'tolgaaydin', 'alpercakar'), 0.6916466139566861)
(('Hurriyet1015', 'tolgaaydin', 'kkaan'), 0.6489028213166144)
(('cnnturk676', 'tolgaaydin', 'raulaliyev'), 0.8438855160450998)
(('Hurriyet2745', 'tolgaaydin', 'fethidenker'), 0.6358396997721485)
(('Hurriyet2300', 'tolgaaydin', 'fethidenker'), 0.5134433524939737)
(('cnnturk693', 'orkhan', 'mustafacem'), 0.738480697384807)
(('Hurriyet3432', 'orkhan', 'sananbabayev'), 0.6642058853686046)
(('Hurriyet4740', 'orkhan', 'caltinuzengi'), 0.9290578184969667)
(('Hurriyet2114', 'orkhan', 'kkaan'), 0.754601226993865)
(('Hurriyet659', 'kkaan', 'mustafacem'), 0.9695076230942264)
(('Hurriyet2902', 'kkaan', 'burakbatman'), 0.7982732469956831)
(('Hurriyet2467', 'kkaan', 'fethidenker'), 0.8728801482114864)
(('Hurriyet515', 'alpercakar', 'omerkuyucu'), 0.6927101259723274)
(('Hurriyet2689', 'alpercakar', 'raulaliyev'), 0.5408238053356786)
(('Hurriyet4732', 'alpercakar', 'fethidenker'), 0.6303317535545023)
(('Hurriyet2495', 'alpercakar', 'raulaliyev'), 0.5409344192027432)
(('Hurriyet3167', 'sananbabayev', 'mustafacem'), 0.6705653021442495)
(('cnnturk429', 'sananbabayev', 'raulaliyev'), 0.4925693274092232)
(('cnnturk429', 'sananbabayev', 'mustafacem'), 0.5436856161770316)
(('cnnturk429', 'raulaliyev', 'mustafacem'), 0.377431906614786)
(('cnnturk1070', 'caltinuzengi', 'mustafacem'), 0.8549501151189562)
(('Hurriyet4195', 'caltinuzengi', 'mustafacem'), 0.8025886669384428)
(('Hurriyet3264', 'caltinuzengi', 'mustafacem'), 0.6477623309845744)
(('Hurriyet2', 'caltinuzengi', 'mustafacem'), 0.4918755163866704)
(('Hurriyet1735', 'burakbatman', 'raulaliyev'), 0.859127934834691)
(('Hurriyet1246', 'burakbatman', 'omerkuyucu'), 0.5721448467966573)
(('Hurriyet1104', 'mustafacem', 'omerkuyucu'), 0.7684022487258971)
